tDocumento;tCorrelativo;tTurno;tTipoPago;tOtroTipoPago;tMoneda;nTipoCambio;nMonto;nVuelto;nPropina;tTarjeta;tReferencia;tBanco;tNumero;tFechaVencimiento;tObservacion;tUsuario;fRegistro;fDiaContable;tCodigoPedido
2500055185;1;;2;NULL;1;4;34,8;NULL;0;7;WS;NULL;2218343669;;NULL;WSInforest;14/07/2025 19:57;14/07/2025 19:57;2500055185
2500055180;1;;2;NULL;1;4;19,9;NULL;0;7;WS;NULL;2218342134;;NULL;WSInforest;14/07/2025 19:47;14/07/2025 19:47;2500055180
2500055178;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218341419;;NULL;WSInforest;14/07/2025 19:42;14/07/2025 19:42;2500055178
2500055176;1;;2;NULL;1;4;50,7;NULL;0;9;WS;NULL;1628855854;;NULL;WSInforest;14/07/2025 19:39;14/07/2025 19:39;2500055176
2500055175;1;;2;NULL;1;4;39,8;NULL;0;7;WS;NULL;2218341061;;NULL;WSInforest;14/07/2025 19:39;14/07/2025 19:39;2500055175
2500055174;1;;2;NULL;1;4;25;NULL;0;7;WS;NULL;2218340584;;NULL;WSInforest;14/07/2025 19:35;14/07/2025 19:35;2500055174
2500055172;1;;2;NULL;1;4;29,82;NULL;0;7;WS;NULL;2218340448;;NULL;WSInforest;14/07/2025 19:35;14/07/2025 19:35;2500055172
2500055168;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218338670;;NULL;WSInforest;14/07/2025 19:23;14/07/2025 19:23;2500055168
2500055166;1;;2;NULL;1;4;125;NULL;0;17;WS;NULL;1614;;NULL;WSInforest;14/07/2025 19:18;14/07/2025 19:18;2500055166
2500055165;1;;2;NULL;1;4;69,8;NULL;0;7;WS;NULL;2218337803;;NULL;WSInforest;14/07/2025 19:17;14/07/2025 19:17;2500055165
2500055161;1;;2;NULL;1;4;29,9;NULL;0;7;WS;NULL;2218336474;;NULL;WSInforest;14/07/2025 19:06;14/07/2025 19:06;2500055161
2500055158;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218335281;;NULL;WSInforest;14/07/2025 18:57;14/07/2025 18:57;2500055158
2500055157;1;;2;NULL;1;4;31,8;NULL;0;7;WS;NULL;2218335260;;NULL;WSInforest;14/07/2025 18:57;14/07/2025 18:57;2500055157
2500055155;1;;2;NULL;1;4;41,8;NULL;0;7;WS;NULL;2218334804;;NULL;WSInforest;14/07/2025 18:53;14/07/2025 18:53;2500055155
2500055153;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218333972;;NULL;WSInforest;14/07/2025 18:46;14/07/2025 18:46;2500055153
2500055151;1;;2;NULL;1;4;156,5;NULL;0;7;WS;NULL;2218333704;;NULL;WSInforest;14/07/2025 18:44;14/07/2025 18:44;2500055151
2500055150;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218333656;;NULL;WSInforest;14/07/2025 18:43;14/07/2025 18:43;2500055150
2500055148;1;;2;NULL;1;4;49,9;NULL;0;7;WS;NULL;2218333388;;NULL;WSInforest;14/07/2025 18:40;14/07/2025 18:40;2500055148
2500055144;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218332970;;NULL;WSInforest;14/07/2025 18:37;14/07/2025 18:37;2500055144
2500055139;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218332171;;NULL;WSInforest;14/07/2025 18:29;14/07/2025 18:29;2500055139
2500055137;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218331814;;NULL;WSInforest;14/07/2025 18:25;14/07/2025 18:25;2500055137
2500055136;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1628786524;;NULL;WSInforest;14/07/2025 18:22;14/07/2025 18:22;2500055136
2500055134;1;;2;NULL;1;4;33,8;NULL;0;9;WS;NULL;1628720853;;NULL;WSInforest;14/07/2025 18:12;14/07/2025 18:12;2500055134
2500055131;1;;2;NULL;1;4;61,8;NULL;0;7;WS;NULL;2218330347;;NULL;WSInforest;14/07/2025 18:10;14/07/2025 18:10;2500055131
2500055129;1;;2;NULL;1;4;234;NULL;0;17;WS;NULL;1787;;NULL;WSInforest;14/07/2025 18:05;14/07/2025 18:05;2500055129
2500055128;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218329827;;NULL;WSInforest;14/07/2025 18:04;14/07/2025 18:04;2500055128
2500055126;1;;2;NULL;1;4;49,9;NULL;0;9;WS;NULL;1628719022;;NULL;WSInforest;14/07/2025 18:01;14/07/2025 18:01;2500055126
2500055122;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1628734239;;NULL;WSInforest;14/07/2025 17:53;14/07/2025 17:53;2500055122
2500055121;1;;2;NULL;1;4;35,9;NULL;0;7;WS;NULL;2218328666;;NULL;WSInforest;14/07/2025 17:50;14/07/2025 17:50;2500055121
2500055119;1;;2;NULL;1;4;43,8;NULL;0;9;WS;NULL;1628715924;;NULL;WSInforest;14/07/2025 17:48;14/07/2025 17:48;2500055119
2500055118;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218328230;;NULL;WSInforest;14/07/2025 17:44;14/07/2025 17:44;2500055118
2500055117;1;;2;NULL;1;4;75,9;NULL;0;9;WS;NULL;1628732283;;NULL;WSInforest;14/07/2025 17:40;14/07/2025 17:40;2500055117
2500055113;1;;2;NULL;1;4;26,9;NULL;0;9;WS;NULL;1628730582;;NULL;WSInforest;14/07/2025 17:25;14/07/2025 17:25;2500055113
2500055110;1;;2;NULL;1;4;99,8;NULL;0;7;WS;NULL;2218325666;;NULL;WSInforest;14/07/2025 17:12;14/07/2025 17:12;2500055110
2500055107;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218324240;;NULL;WSInforest;14/07/2025 16:52;14/07/2025 16:52;2500055107
2500055106;1;;2;NULL;1;4;59,8;NULL;0;9;WS;NULL;1628690387;;NULL;WSInforest;14/07/2025 16:50;14/07/2025 16:50;2500055106
2500055103;1;;2;NULL;1;4;153,8;NULL;0;7;WS;NULL;2218323964;;NULL;WSInforest;14/07/2025 16:48;14/07/2025 16:48;2500055103
2500055098;1;;2;NULL;1;4;52,9;NULL;0;9;WS;NULL;1628666917;;NULL;WSInforest;14/07/2025 16:36;14/07/2025 16:36;2500055098
2500055097;1;;2;NULL;1;4;51,9;NULL;0;7;WS;NULL;2218322918;;NULL;WSInforest;14/07/2025 16:34;14/07/2025 16:34;2500055097
2500055094;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218321605;;NULL;WSInforest;14/07/2025 16:16;14/07/2025 16:16;2500055094
2500055092;1;;2;NULL;1;4;58,9;NULL;0;17;WS;NULL;5682;;NULL;WSInforest;14/07/2025 16:10;14/07/2025 16:10;2500055092
2500055091;1;;2;NULL;1;4;125;NULL;0;17;WS;NULL;9649;;NULL;WSInforest;14/07/2025 16:09;14/07/2025 16:09;2500055091
2500055090;1;;2;NULL;1;4;42,8;NULL;0;7;WS;NULL;2218321058;;NULL;WSInforest;14/07/2025 16:09;14/07/2025 16:09;2500055090
2500055085;1;;2;NULL;1;4;120;NULL;0;17;WS;NULL;7800;;NULL;WSInforest;14/07/2025 15:55;14/07/2025 15:55;2500055085
2500055080;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1628568691;;NULL;WSInforest;14/07/2025 15:44;14/07/2025 15:44;2500055080
2500055074;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218318187;;NULL;WSInforest;14/07/2025 15:32;14/07/2025 15:32;2500055074
2500055071;1;;2;NULL;1;4;35;NULL;0;9;WS;NULL;1628566970;;NULL;WSInforest;14/07/2025 15:23;14/07/2025 15:23;2500055071
2500055066;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218316726;;NULL;WSInforest;14/07/2025 15:12;14/07/2025 15:12;2500055066
2500055064;1;;2;NULL;1;4;58,9;NULL;0;17;WS;NULL;7269;;NULL;WSInforest;14/07/2025 15:05;14/07/2025 15:05;2500055064
2500055062;1;;2;NULL;1;4;25,9;NULL;0;9;WS;NULL;1628579143;;NULL;WSInforest;14/07/2025 15:00;14/07/2025 15:00;2500055062
2500055058;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218315029;;NULL;WSInforest;14/07/2025 14:52;14/07/2025 14:52;2500055058
2500055057;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218314736;;NULL;WSInforest;14/07/2025 14:49;14/07/2025 14:49;2500055057
2500055055;1;;2;NULL;1;4;70,5;NULL;0;7;WS;NULL;2218313527;;NULL;WSInforest;14/07/2025 14:34;14/07/2025 14:34;2500055055
2500055053;1;;2;NULL;1;4;33,8;NULL;0;9;WS;NULL;1628531013;;NULL;WSInforest;14/07/2025 14:27;14/07/2025 14:27;2500055053
2500055052;1;;2;NULL;1;4;115;NULL;0;17;WS;NULL;8707;;NULL;WSInforest;14/07/2025 14:25;14/07/2025 14:25;2500055052
2500055051;1;;2;NULL;1;4;87,9;NULL;0;7;WS;NULL;2218312682;;NULL;WSInforest;14/07/2025 14:24;14/07/2025 14:24;2500055051
2500055050;1;;2;NULL;1;4;99;NULL;0;17;WS;NULL;4155;;NULL;WSInforest;14/07/2025 14:24;14/07/2025 14:24;2500055050
2500055049;1;;2;NULL;1;4;283,9;NULL;0;17;WS;NULL;403;;NULL;WSInforest;14/07/2025 14:23;14/07/2025 14:23;2500055049
2500055041;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218309836;;NULL;WSInforest;14/07/2025 13:53;14/07/2025 13:53;2500055041
2500055039;1;;2;NULL;1;4;35;NULL;0;9;WS;NULL;1628456645;;NULL;WSInforest;14/07/2025 13:50;14/07/2025 13:50;2500055039
2500055038;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218309018;;NULL;WSInforest;14/07/2025 13:45;14/07/2025 13:45;2500055038
2500055037;1;;2;NULL;1;4;58,9;NULL;0;17;WS;NULL;6692;;NULL;WSInforest;14/07/2025 13:43;14/07/2025 13:43;2500055037
2500055036;1;;2;NULL;1;4;36,8;NULL;0;7;WS;NULL;2218308706;;NULL;WSInforest;14/07/2025 13:42;14/07/2025 13:42;2500055036
2500055032;1;;2;NULL;1;4;91;NULL;0;17;WS;NULL;2283;;NULL;WSInforest;14/07/2025 13:35;14/07/2025 13:35;2500055032
2500055030;1;;2;NULL;1;4;38,8;NULL;0;7;WS;NULL;2218306917;;NULL;WSInforest;14/07/2025 13:26;14/07/2025 13:26;2500055030
2500055023;1;;2;NULL;1;4;59,8;NULL;0;7;WS;NULL;2218305933;;NULL;WSInforest;14/07/2025 13:17;14/07/2025 13:17;2500055023
2500055022;1;;2;NULL;1;4;45,6;NULL;0;7;WS;NULL;2218305908;;NULL;WSInforest;14/07/2025 13:17;14/07/2025 13:17;2500055022
2500055020;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1628452223;;NULL;WSInforest;14/07/2025 13:14;14/07/2025 13:14;2500055020
2500055014;1;;2;NULL;1;4;35,9;NULL;0;7;WS;NULL;2218304504;;NULL;WSInforest;14/07/2025 13:04;14/07/2025 13:04;2500055014
2500055012;1;;2;NULL;1;4;60;NULL;0;17;WS;NULL;9679;;NULL;WSInforest;14/07/2025 13:02;14/07/2025 13:02;2500055012
2500055010;1;;2;NULL;1;4;46,8;NULL;0;7;WS;NULL;2218303922;;NULL;WSInforest;14/07/2025 12:58;14/07/2025 12:58;2500055010
2500055009;1;;2;NULL;1;4;29,9;NULL;0;7;WS;NULL;2218303347;;NULL;WSInforest;14/07/2025 12:53;14/07/2025 12:53;2500055009
2500055007;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218302361;;NULL;WSInforest;14/07/2025 12:44;14/07/2025 12:44;2500055007
2500055006;1;;2;NULL;1;4;63,7;NULL;0;9;WS;NULL;1628392438;;NULL;WSInforest;14/07/2025 12:43;14/07/2025 12:43;2500055006
2500055004;1;;2;NULL;1;4;29,9;NULL;0;9;WS;NULL;1628397305;;NULL;WSInforest;14/07/2025 12:33;14/07/2025 12:33;2500055004
2500055003;1;;2;NULL;1;4;29,9;NULL;0;7;WS;NULL;2218300834;;NULL;WSInforest;14/07/2025 12:32;14/07/2025 12:32;2500055003
2500055001;1;;2;NULL;1;4;34,9;NULL;0;9;WS;NULL;1628395957;;NULL;WSInforest;14/07/2025 12:22;14/07/2025 12:22;2500055001
2500055000;1;;2;NULL;1;4;38;NULL;0;7;WS;NULL;2218299178;;NULL;WSInforest;14/07/2025 12:17;14/07/2025 12:17;2500055000
2500054999;1;;2;NULL;1;4;24,9;NULL;0;7;WS;NULL;2218298112;;NULL;WSInforest;14/07/2025 12:07;14/07/2025 12:07;2500054999
2500054998;1;;2;NULL;1;4;55,9;NULL;0;17;WS;NULL;3619;;NULL;WSInforest;14/07/2025 12:00;14/07/2025 12:00;2500054998
2500054997;1;;2;NULL;1;4;58,9;NULL;0;17;WS;NULL;5941;;NULL;WSInforest;14/07/2025 11:59;14/07/2025 11:59;2500054997
2500054993;1;;2;NULL;1;4;70;NULL;0;7;WS;NULL;2218296301;;NULL;WSInforest;14/07/2025 11:41;14/07/2025 11:41;2500054993
2500054987;1;;2;NULL;1;4;43,7;NULL;0;7;WS;NULL;2218294312;;NULL;WSInforest;14/07/2025 11:03;14/07/2025 11:03;2500054987
2500054985;1;;2;NULL;1;4;125;NULL;0;17;WS;NULL;9618;;NULL;WSInforest;14/07/2025 11:00;14/07/2025 11:00;2500054985
2500054984;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218294154;;NULL;WSInforest;14/07/2025 10:59;14/07/2025 10:59;2500054984
2500054983;1;;2;NULL;1;4;35;NULL;0;9;WS;NULL;1628298540;;NULL;WSInforest;14/07/2025 10:55;14/07/2025 10:55;2500054983
2500054981;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218293374;;NULL;WSInforest;14/07/2025 10:39;14/07/2025 10:39;2500054981
2500054980;1;;2;NULL;1;4;35;NULL;0;9;WS;NULL;1628222851;;NULL;WSInforest;14/07/2025 10:38;14/07/2025 10:38;2500054980
2500054975;1;;2;NULL;1;4;86,6;NULL;0;7;WS;NULL;2218292752;;NULL;WSInforest;14/07/2025 10:23;14/07/2025 10:23;2500054975
2500054973;1;;2;NULL;1;4;81;NULL;0;17;WS;NULL;4413;;NULL;WSInforest;14/07/2025 10:14;14/07/2025 10:14;2500054973
2500054972;1;;2;NULL;1;4;119;NULL;0;9;WS;NULL;1628205398;;NULL;WSInforest;14/07/2025 10:07;14/07/2025 10:07;2500054972
2500054971;1;;2;NULL;1;4;41,8;NULL;0;7;WS;NULL;2218291877;;NULL;WSInforest;14/07/2025 10:01;14/07/2025 10:01;2500054971
2500054969;1;;2;NULL;1;4;24,9;NULL;0;9;WS;NULL;1628204929;;NULL;WSInforest;14/07/2025 9:57;14/07/2025 9:57;2500054969
2500054968;1;;2;NULL;1;4;119;NULL;0;7;WS;NULL;2218291677;;NULL;WSInforest;14/07/2025 9:55;14/07/2025 9:55;2500054968
2500054966;1;;2;NULL;1;4;125;NULL;0;17;WS;NULL;8171;;NULL;WSInforest;14/07/2025 9:40;14/07/2025 9:40;2500054966
2500054963;1;;2;NULL;1;4;115;NULL;0;17;WS;NULL;3700;;NULL;WSInforest;14/07/2025 9:19;14/07/2025 9:19;2500054963
2500054960;1;;2;NULL;1;4;52,9;NULL;0;9;WS;NULL;1628203012;;NULL;WSInforest;14/07/2025 9:09;14/07/2025 9:09;2500054960
2500054959;1;;2;NULL;1;4;33,8;NULL;0;9;WS;NULL;1628218427;;NULL;WSInforest;14/07/2025 9:01;14/07/2025 9:01;2500054959
2500054958;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1628202615;;NULL;WSInforest;14/07/2025 8:56;14/07/2025 8:56;2500054958
2500054957;1;;2;NULL;1;4;29,9;NULL;0;7;WS;NULL;2218289600;;NULL;WSInforest;14/07/2025 8:55;14/07/2025 8:55;2500054957
2500054956;1;;2;NULL;1;4;49,9;NULL;0;7;WS;NULL;2218289574;;NULL;WSInforest;14/07/2025 8:54;14/07/2025 8:54;2500054956
2500054955;1;;2;NULL;1;4;125;NULL;0;17;WS;NULL;5314;;NULL;WSInforest;14/07/2025 8:39;14/07/2025 8:39;2500054955
2500054952;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218288641;;NULL;WSInforest;14/07/2025 8:13;14/07/2025 8:13;2500054952
2500054951;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218288473;;NULL;WSInforest;14/07/2025 8:06;14/07/2025 8:06;2500054951
2500054950;1;;2;NULL;1;4;58,9;NULL;0;17;WS;NULL;3339;;NULL;WSInforest;14/07/2025 8:04;14/07/2025 8:04;2500054950
2500054948;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218288387;;NULL;WSInforest;14/07/2025 8:01;14/07/2025 8:01;2500054948
2500054947;1;;2;NULL;1;4;25,9;NULL;0;7;WS;NULL;2218288344;;NULL;WSInforest;14/07/2025 7:57;14/07/2025 7:57;2500054947
2500054946;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218288207;;NULL;WSInforest;14/07/2025 7:49;14/07/2025 7:49;2500054946
2500054944;1;;2;NULL;1;4;41,8;NULL;0;7;WS;NULL;2218287880;;NULL;WSInforest;14/07/2025 7:18;14/07/2025 7:18;2500054944
2500054943;1;;2;NULL;1;4;33,8;NULL;0;7;WS;NULL;2218278751;;NULL;WSInforest;13/07/2025 21:59;13/07/2025 21:59;2500054943
2500054938;1;;2;NULL;1;4;17,9;NULL;0;7;WS;NULL;2218275890;;NULL;WSInforest;13/07/2025 21:38;13/07/2025 21:38;2500054938
2500054936;1;;2;NULL;1;4;19,9;NULL;0;7;WS;NULL;2218275332;;NULL;WSInforest;13/07/2025 21:34;13/07/2025 21:34;2500054936
2500054934;1;;2;NULL;1;4;33,8;NULL;0;9;WS;NULL;1627890667;;NULL;WSInforest;13/07/2025 21:32;13/07/2025 21:32;2500054934
2500054933;1;;2;NULL;1;4;21,9;NULL;0;7;WS;NULL;2218274504;;NULL;WSInforest;13/07/2025 21:28;13/07/2025 21:28;2500054933
2500054932;1;;2;NULL;1;4;27,8;NULL;0;9;WS;NULL;1627852119;;NULL;WSInforest;13/07/2025 21:17;13/07/2025 21:17;2500054932
2500054928;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1627775450;;NULL;WSInforest;13/07/2025 20:51;13/07/2025 20:51;2500054928
2500054924;1;;2;NULL;1;4;29,9;NULL;0;7;WS;NULL;2218263863;;NULL;WSInforest;13/07/2025 20:26;13/07/2025 20:26;2500054924
2500054923;1;;2;NULL;1;4;37,8;NULL;0;7;WS;NULL;2218263830;;NULL;WSInforest;13/07/2025 20:26;13/07/2025 20:26;2500054923
2500054922;1;;2;NULL;1;4;52,9;NULL;0;9;WS;NULL;1627733467;;NULL;WSInforest;13/07/2025 20:16;13/07/2025 20:16;2500054922
2500054921;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1627732574;;NULL;WSInforest;13/07/2025 20:12;13/07/2025 20:12;2500054921
2500054916;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1627700640;;NULL;WSInforest;13/07/2025 19:56;13/07/2025 19:56;2500054916
2500054914;1;;2;NULL;1;4;26,9;NULL;0;7;WS;NULL;2218257435;;NULL;WSInforest;13/07/2025 19:53;13/07/2025 19:53;2500054914
2500054910;1;;2;NULL;1;4;35,9;NULL;0;7;WS;NULL;2218255367;;NULL;WSInforest;13/07/2025 19:43;13/07/2025 19:43;2500054910
2500054908;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218255122;;NULL;WSInforest;13/07/2025 19:41;13/07/2025 19:41;2500054908
2500054907;1;;2;NULL;1;4;26,9;NULL;0;9;WS;NULL;1627625235;;NULL;WSInforest;13/07/2025 19:41;13/07/2025 19:41;2500054907
2500054906;1;;2;NULL;1;4;52,9;NULL;0;7;WS;NULL;2218253980;;NULL;WSInforest;13/07/2025 19:35;13/07/2025 19:35;2500054906
2500054902;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218250445;;NULL;WSInforest;13/07/2025 19:18;13/07/2025 19:18;2500054902
2500054901;1;;2;NULL;1;4;50,7;NULL;0;7;WS;NULL;2218250200;;NULL;WSInforest;13/07/2025 19:17;13/07/2025 19:17;2500054901
2500054900;1;;2;NULL;1;4;45,8;NULL;0;7;WS;NULL;2218249694;;NULL;WSInforest;13/07/2025 19:14;13/07/2025 19:14;2500054900
2500054899;1;;2;NULL;1;4;49,8;NULL;0;7;WS;NULL;2218249703;;NULL;WSInforest;13/07/2025 19:14;13/07/2025 19:14;2500054899
2500054897;1;;2;NULL;1;4;35;NULL;0;9;WS;NULL;1627582714;;NULL;WSInforest;13/07/2025 19:10;13/07/2025 19:10;2500054897
2500054890;1;;2;NULL;1;4;125;NULL;0;17;WS;NULL;9304;;NULL;WSInforest;13/07/2025 18:54;13/07/2025 18:54;2500054890
2500054887;1;;2;NULL;1;4;109;NULL;0;17;WS;NULL;9534;;NULL;WSInforest;13/07/2025 18:48;13/07/2025 18:48;2500054887
2500054884;1;;2;NULL;1;4;49,9;NULL;0;7;WS;NULL;2218244452;;NULL;WSInforest;13/07/2025 18:45;13/07/2025 18:45;2500054884
2500054881;1;;2;NULL;1;4;64;NULL;0;7;WS;NULL;2218244063;;NULL;WSInforest;13/07/2025 18:42;13/07/2025 18:42;2500054881
2500054879;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218242938;;NULL;WSInforest;13/07/2025 18:35;13/07/2025 18:35;2500054879
2500054875;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1627464302;;NULL;WSInforest;13/07/2025 18:30;13/07/2025 18:30;2500054875
2500054874;1;;2;NULL;1;4;16,9;NULL;0;9;WS;NULL;1627500587;;NULL;WSInforest;13/07/2025 18:26;13/07/2025 18:26;2500054874
2500054873;1;;2;NULL;1;4;33,8;NULL;0;18;WS;NULL;0713-#1;;NULL;WSInforest;13/07/2025 18:25;13/07/2025 18:25;2500054873
2500054872;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218241213;;NULL;WSInforest;13/07/2025 18:24;13/07/2025 18:24;2500054872
2500054868;1;;2;NULL;1;4;50,7;NULL;0;9;WS;NULL;1627461440;;NULL;WSInforest;13/07/2025 18:17;13/07/2025 18:17;2500054868
2500054861;1;;2;NULL;1;4;26,9;NULL;0;7;WS;NULL;2218238979;;NULL;WSInforest;13/07/2025 18:07;13/07/2025 18:07;2500054861
2500054859;1;;2;NULL;1;4;39,8;NULL;0;17;WS;NULL;100;;NULL;WSInforest;13/07/2025 18:03;13/07/2025 18:03;2500054859
2500054858;1;;2;NULL;1;4;18,9;NULL;0;7;WS;NULL;2218238363;;NULL;WSInforest;13/07/2025 18:02;13/07/2025 18:02;2500054858
2500054857;1;;2;NULL;1;4;39,8;NULL;0;16;WS;NULL;0;;NULL;WSInforest;13/07/2025 18:02;13/07/2025 18:02;2500054857
2500054856;1;;2;NULL;1;4;124,4;NULL;0;7;WS;NULL;2218238302;;NULL;WSInforest;13/07/2025 18:02;13/07/2025 18:02;2500054856
2500054854;1;;2;NULL;1;4;58,9;NULL;0;17;WS;NULL;2862;;NULL;WSInforest;13/07/2025 18:01;13/07/2025 18:01;2500054854
2500054849;1;;2;NULL;1;4;35;NULL;0;7;WS;NULL;2218236304;;NULL;WSInforest;13/07/2025 17:45;13/07/2025 17:45;2500054849
2500054846;1;;2;NULL;1;4;66,8;NULL;0;7;WS;NULL;2218235587;;NULL;WSInforest;13/07/2025 17:40;13/07/2025 17:40;2500054846
2500054843;1;;2;NULL;1;4;16,9;NULL;0;7;WS;NULL;2218233580;;NULL;WSInforest;13/07/2025 17:23;13/07/2025 17:23;2500054843
2500054842;1;;2;NULL;1;4;33,8;NULL;0;7;WS;NULL;2218233426;;NULL;WSInforest;13/07/2025 17:22;13/07/2025 17:22;2500054842
